symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
CWF19L2,0,-1,-1,0,0,-1,1,0,0,-1,1,0,0,0,1,-1,1,1,-1,0,1,-1,0,1,1,1,2,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1
CWH43,-1,-1,-1,0,-1,1,1,0,-2,-1,-1,-1,0,0,-1,0,0,-1,1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CX3CL1,0,1,0,1,-1,1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,1,0,1,0,-1,-1,1,0,1,-1,1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,-1
CX3CR1,0,-1,0,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,0,1,1,0,1,0,0,1,0,1,-1,0,0,0,0,0,-1,-1
CXADR,1,1,-1,0,0,0,1,1,-2,-1,1,-1,0,-1,1,-1,-1,1,-1,0,1,2,1,2,-1,1,1,1,0,0,0,-1,1,1,0,0,1,0,1,0
CXADRP2,0,0,2,-2,-2,0,1,0,-2,-1,-1,-1,1,2,-1,-1,-2,0,1,2,-1,-1,1,-1,1,1,0,-2,1,0,-1,0,2,-1,-2,1,0,1,1,-1
CXADRP3,0,-1,-1,0,0,1,1,0,0,0,1,-1,0,-1,-1,0,0,1,-1,0,0,1,-1,1,1,1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL2,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL3,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL5,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL6,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL8,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL9,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL10,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL11,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL12,0,1,0,1,-1,0,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,1,1,-1,-1
CXCL13,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
CXCL14,0,1,0,0,1,1,-1,-1,0,0,-1,0,0,0,0,1,0,0,1,1,1,1,1,0,-1,0,-1,1,1,1,1,0,0,0,1,0,0,1,-1,-1
CXCL16,0,1,1,1,1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,1,-1,1,0,0
