src,src_name,dest,dest_name,weight
29,ACTL6B,27,ACTG1,0.22130176114539304
29,ACTL6B,28,ACTL6A,0.2186936017436286
29,ACTL6B,153,ARID1A,0.18858977469305196
29,ACTL6B,154,ARID1B,0.26828239563231665
29,ACTL6B,660,DPF1,0.13003424741327763
29,ACTL6B,661,DPF3,0.09017527212078373
29,ACTL6B,1789,PBRM1,0.15299724787473679
29,ACTL6B,1848,PHF10,0.18174079060554504
29,ACTL6B,1936,PPARG,0.19817098478476206
29,ACTL6B,2359,SMARCA2,0.1410203631967306
29,ACTL6B,2360,SMARCA4,0.23030972108244896
29,ACTL6B,2361,SMARCB1,0.10686159498679142
29,ACTL6B,2362,SMARCC1,0.15477965027093887
29,ACTL6B,2363,SMARCC2,0.1584451454691589
29,ACTL6B,2364,SMARCD1,0.1254857424646616
29,ACTL6B,2365,SMARCD2,0.22488700225949287
29,ACTL6B,2366,SMARCD3,0.12141629246373971
29,ACTL6B,2367,SMARCE1,0.2219085916876793
30,ACTN1,1206,ITGA1,0.1901337356927494
30,ACTN1,1207,ITGA11,0.3017229177057743
30,ACTN1,1208,ITGA2,0.10924415197223425
30,ACTN1,1209,ITGA3,0.09407447806249063
30,ACTN1,1210,ITGA4,0.28619195497594774
30,ACTN1,1211,ITGA5,0.2025239223924776
30,ACTN1,1212,ITGA6,0.11761443363502622
30,ACTN1,1213,ITGA7,0.06772037409245968
30,ACTN1,1214,ITGA9,0.27782488365968067
30,ACTN1,1215,ITGAV,0.14320722967386246
30,ACTN1,1217,ITGB1,0.21008667473991713
30,ACTN1,1219,ITGB3,0.18059121969660433
30,ACTN1,1220,ITGB4,0.3590712994337082
30,ACTN1,1221,ITGB5,0.1359433699399233
30,ACTN1,1222,ITGB8,0.16356181260198355
30,ACTN1,1340,LMO7,0.15722647619744143
30,ACTN1,1459,MICALL2,0.20215613457063833
30,ACTN1,2432,SSX2IP,0.1515071770797173
31,ACTN4,1206,ITGA1,0.2296953791131576
31,ACTN4,1207,ITGA11,0.2927511666590969
31,ACTN4,1208,ITGA2,0.19325491227209568
31,ACTN4,1209,ITGA3,0.3594797672703862
31,ACTN4,1210,ITGA4,0.2203739684385558
31,ACTN4,1211,ITGA5,0.24668492873509726
31,ACTN4,1212,ITGA6,0.18043052998837084
31,ACTN4,1213,ITGA7,0.1629696114299198
31,ACTN4,1214,ITGA9,0.20909918596347174
31,ACTN4,1215,ITGAV,0.18578215269371867
31,ACTN4,1217,ITGB1,0.13191095180809498
31,ACTN4,1219,ITGB3,0.18970064230961725
31,ACTN4,1220,ITGB4,0.16091850399971008
31,ACTN4,1221,ITGB5,0.15873547395070395
31,ACTN4,1222,ITGB8,0.17155705268184343
31,ACTN4,1340,LMO7,0.17287983318480352
31,ACTN4,1459,MICALL2,0.22322925180196762
31,ACTN4,2432,SSX2IP,0.13277186981091896
32,ACTR2,26,ACTB,0.19568675135572752
32,ACTR2,27,ACTG1,0.2626742335657279
32,ACTR2,34,ACTR3B,0.19968352653086185
32,ACTR2,35,ACTR3C,0.24836860845486322
32,ACTR2,2723,WHAMM,0.24844664831956229
