symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ABRAXAS1,1,1,1,1,1,1,1,4,1,2,0,1,9,6,1,1,2,0,0,1,1,1,0,0,0,0,0,1,0,3,0,0,2,0,2,2,1,1,0,0
ACAA1,3,3,3,2,3,3,3,3,11,7,3,4,4,11,4,6,5,4,3,3,3,5,7,4,13,4,6,4,3,7,6,7,2,6,7,3,6,3,4,7
ACACA,11,10,14,22,12,6,12,14,18,20,8,10,15,4,13,8,8,7,7,15,25,6,12,10,6,9,13,20,10,9,5,8,15,12,6,13,19,19,7,11
ACADM,13,7,9,18,16,7,9,14,13,11,5,6,32,16,14,6,6,12,11,12,12,7,9,20,9,8,6,15,13,10,23,18,5,12,15,14,7,15,20,6
ACIN1,11,15,15,19,16,12,23,25,32,26,14,33,22,27,22,30,24,20,33,24,23,14,16,22,18,17,14,18,21,19,16,19,25,22,40,30,20,18,27,29
ACOX1,3,4,5,4,3,8,3,8,10,5,2,2,5,6,3,5,4,9,3,3,17,8,2,4,6,3,3,7,2,7,3,7,4,3,3,8,18,8,4,5
ACOX3,7,5,2,2,4,9,4,3,6,3,4,1,3,1,8,6,3,3,2,1,3,2,4,3,2,2,4,4,4,3,1,2,4,3,4,2,4,3,4,2
ACP1,36,32,48,33,12,43,20,25,29,23,14,22,41,46,25,29,19,44,34,40,44,28,18,19,27,23,8,24,20,23,25,40,18,17,22,32,18,17,27,30
ACP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,33,50,8,0,0,0,0,0,0,55,17
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL1,20,12,5,41,8,25,2,3,13,8,3,9,12,10,0,3,7,20,3,6,2,3,12,1,4,9,8,7,5,8,22,30,12,12,9,5,15,2,14,10
ACSL3,39,15,39,36,12,12,10,21,17,26,23,12,35,13,38,28,11,21,11,25,11,23,12,22,34,4,24,19,20,41,55,89,29,30,14,12,11,20,39,44
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,1,6,2,11,36,7,0,2,4,8,435,6,0,0,3,0,0,0,1,1,0,0,67,0,0,0,1,1,0,0,0,0,3,245,4,0,2,0,5,3
ACTB,2045,1864,1420,1295,1849,1232,1641,331,889,1815,2281,1541,617,327,757,860,1445,1777,1466,1279,1087,722,1270,2053,742,492,2966,2147,2150,585,666,800,875,1956,1800,719,1115,1605,880,712
ACTG1,1892,712,1447,791,997,1728,1316,712,685,2011,1130,1081,460,603,1307,918,1015,1037,842,1046,2074,906,1599,1150,426,303,3203,1380,1013,737,1063,1396,1760,934,608,711,457,963,1180,536
ACTL6A,44,18,24,22,29,29,28,15,22,35,19,22,29,35,29,32,39,23,30,27,27,33,24,24,34,65,19,27,42,22,31,28,35,30,23,20,57,18,21,37
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,50,43,51,43,41,26,69,16,25,23,161,24,11,6,56,28,58,53,54,26,20,36,118,135,88,0,129,32,51,38,52,18,61,111,9,37,23,61,36,44
ACTN4,117,169,221,128,132,65,194,62,115,137,289,166,54,50,139,88,225,160,33,81,30,220,354,183,75,18,162,183,157,98,163,74,294,204,118,144,50,234,102,120
ACTR2,213,113,175,140,103,114,92,61,68,77,219,82,145,59,229,91,95,99,150,100,141,115,71,108,89,83,98,109,101,56,110,124,120,115,126,54,75,68,87,103
ACTR3,58,39,42,35,26,39,16,15,15,19,33,28,33,19,34,17,25,29,29,28,18,34,33,39,19,18,27,34,35,21,37,18,30,42,26,19,9,16,18,22
ACTR3B,2,1,0,2,2,1,1,4,3,9,0,1,3,3,0,2,2,2,2,4,6,2,5,1,2,2,1,2,0,1,0,2,0,1,4,7,2,2,1,2
ACTR3C,3,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
ACVR1,10,11,7,15,6,9,5,7,4,7,17,2,6,2,13,4,4,5,3,3,4,5,3,4,5,2,8,11,21,10,11,6,6,13,9,1,1,8,15,15
ACVR1B,3,5,4,7,3,4,5,7,5,4,2,16,5,4,5,9,2,3,6,3,5,8,5,4,3,2,5,5,3,3,3,5,6,3,7,10,9,3,3,3
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
ACVR2A,1,1,1,1,0,1,0,2,1,0,1,3,1,2,1,1,0,1,1,0,1,3,0,1,1,0,0,0,2,2,0,0,1,1,1,1,0,2,1,1
ACVR2B,0,0,0,0,0,0,0,4,2,0,0,2,5,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,3,2,0,1,0,0
ACVRL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM10,20,17,22,25,8,11,8,14,10,14,11,21,8,7,9,7,15,11,5,6,7,31,8,8,4,14,8,13,14,10,14,9,21,12,10,6,6,12,14,12
ADAM17,14,18,17,17,11,9,14,20,9,7,10,11,13,8,24,6,7,13,14,14,12,14,5,7,6,8,3,12,25,13,9,8,8,8,12,13,4,15,7,7
ADCY1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,1,1,3,0,0,2,0,6,1,3,0,23,4,20,0,2,0,0,0,0,7,6
ADCY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
ADCY3,10,11,10,8,6,3,18,10,15,9,4,5,7,7,14,5,8,14,10,16,14,3,4,6,6,15,10,9,3,7,11,10,14,9,12,20,3,9,10,11
ADCY4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
