locus_id,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
DRD4,0.9616,0.9242299999999999,0.92291,0.97408,0.39755,0.84936,0.96573,0.9575899999999999,0.93545,0.9847299999999999,0.7661600000000001,0.9708600000000001,0.99813,1.0,0.9734799999999999,0.37077,0.85713,0.99306,0.92732,0.8662299999999999,0.94458,0.94127,0.86144,0.9214,0.9016799999999999,0.47393,0.86655,0.80198,0.85387,0.89302,0.46421,0.56193,0.92729,0.9627399999999999,0.93973,0.9814799999999999,0.9724799999999999,0.96847,0.95845,0.63437,0.8200799999999999
DRD5,0.60785,0.7642899999999999,0.52385,0.9695299999999999,0.8825200000000001,0.5862,0.89825,0.9224399999999999,0.89556,0.39396,0.05667000000000001,0.69613,0.0,0.9987,0.5844600000000001,0.09938,0.8817200000000001,0.48063999999999996,0.63703,0.94684,0.64959,0.28431,0.71127,0.7278399999999999,0.9291200000000001,0.43418999999999996,0.03872,0.13055999999999998,0.03599,0.28501,0.043910000000000005,0.39601,0.03782,0.55093,0.06988,0.81472,0.8439399999999999,0.26561,0.37466,0.0306,0.07642
DROSHA,0.00982,0.02059,0.01347,0.0,0.00687,0.0,0.0,0.0,0.0058200000000000005,0.08985,0.00911,0.0,0.00235,0.0,0.0,0.0,0.0,0.00703,0.0,0.024880000000000003,0.00197,0.0,0.00265,0.0,0.00561,0.00312,0.0,0.0,0.0,0.0,0.0,0.0016899999999999999,0.00571,0.0,0.00428,0.00379,0.00066,0.00135,0.0,0.0,0.01119
DSC2,0.0,0.0,0.0,0.0,0.44188,0.0,0.0,0.0,0.0,0.28395,0.8393,0.0,0.0,0.0,0.8393,0.0,0.0,0.0,0.0,0.016669999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.36108,0.9167,0.32142,1.0,0.07758,0.95,0.0,0.11538,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DSG2,0.47777,0.58523,0.60377,0.89781,0.27204,0.33846,0.060629999999999996,0.08613,0.1027,0.22376,0.53508,0.52632,0.0,0.58412,0.96629,0.18629,0.17053,0.055560000000000005,0.96552,0.4131,0.76857,0.19166,0.125,0.30613,0.6705899999999999,0.0,0.4,0.88889,0.48985,0.94936,0.42307,0.9705799999999999,0.91666,0.41176,0.8535,0.95181,0.90909,0.0,0.9220799999999999,0.91064,1.0
DTX1,0.39405,0.8548100000000001,0.37544,0.52245,0.2487,0.29705,0.35470999999999997,0.94004,0.90384,0.34586999999999996,0.08359,0.19030999999999998,0.0032,0.9034700000000001,0.7744,0.04086,0.70004,0.66667,0.36491,0.4254600000000001,0.21191999999999997,0.29086,0.17482,0.35409,0.72959,0.43409,0.05173,0.060379999999999996,0.12555,0.17429,0.36225,0.48843000000000003,0.22333000000000008,0.36446,0.36833,0.94247,0.9373100000000001,0.20172,0.20695999999999998,0.28565,0.29106
DTX3,0.33749,1.0,0.73749,0.04545,0.1875,0.0,0.1154,0.8889,0.75,0.0,0.07694,0.6875,0.0,0.0,0.36538000000000004,0.0,0.0,0.0,0.0,0.07145,0.1667,0.3333,0.0,0.09093,0.1111,0.08335,0.0,0.0,0.5,0.3571,0.25,0.13333,0.08335,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0
DTX3L,0.07222,0.00483,0.0,0.0,0.0,0.0,0.0,0.01786,0.03573,0.0,0.0,0.044610000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02027,0.0,0.0,0.006679999999999999,0.0,0.016669999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03174,0.0
DTX4,0.040080000000000005,0.01038,0.013590000000000001,0.0,0.00627,0.0,0.0,0.00187,0.0049700000000000005,0.0,0.09608,0.00205,0.00119,0.0,0.00259,0.01094,0.0,0.00715,0.00456,0.0,0.0013,0.00149,0.0,0.00033,0.0007,0.014519999999999996,0.0024100000000000002,0.0,0.0011,0.0,0.0,0.0,0.00217,0.00626,0.0,0.27466999999999997,0.0,0.0042899999999999995,0.00134,0.00078,0.00903
DUSP1,0.0,0.0,0.03172,0.0,0.010579999999999999,0.00263,0.03166,0.0,0.0054,0.0,0.0,0.0,0.0,0.0007700000000000001,0.0,0.0,0.00161,0.02875,0.0,0.00339,0.0,0.0,0.0,0.0,0.0,0.00345,0.0,0.0,0.032889999999999996,0.0,0.038810000000000004,0.00971,0.0,0.0,0.0,0.0,0.0,0.018690000000000002,0.00374,0.0,0.0
DUSP10,0.015359999999999999,0.022330000000000003,0.0184,0.0005,0.01864,0.00183,0.0033399999999999997,0.00033999999999999997,0.00757,0.0001,0.01411,0.00298,0.00033,0.0011,0.0027199999999999998,0.0,0.00196,0.0392,0.00533,0.00118,0.00122,0.01791,0.003820000000000001,0.0041600000000000005,0.00449,0.0037,0.00573,0.0,0.0016699999999999998,0.0,0.00045999999999999996,0.0,0.00328,0.0030800000000000003,0.0,0.0025800000000000003,0.0135,0.00514,0.00303,0.0024,0.01005
DUSP16,0.0398,0.00784,0.0189,0.0,0.0,0.0,0.0,0.0,0.11429,0.0,0.04729,0.01492,0.0,0.0,0.00165,0.0,0.00595,0.08928,0.0,0.00344,0.0,0.0,0.0,0.0,0.015619999999999997,0.0,0.02913,0.0,0.0,0.0,0.00596,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.06383
DUSP2,0.58646,0.521,0.64925,0.46983,0.15297,0.5,0.65125,0.627,0.5097,0.05321,0.5811,0.49088000000000004,0.5,0.5,0.7387600000000001,0.2653,0.65574,0.60914,0.59083,0.21524000000000001,0.36951,0.46069,0.49057,0.53552,0.5959,0.48901999999999995,0.02678,0.84014,0.49899,0.79948,0.57663,0.64063,0.51348,0.46907,0.66396,0.58513,0.08764,0.3913,0.68555,0.45355,0.5319699999999999
DUSP3,0.029230000000000006,0.01371,0.02225,0.00187,0.0,0.0,0.01696,0.00283,0.0459,0.0,0.01583,0.0,0.0026,0.0,0.00443,0.0,0.0,0.0,0.0,0.00595,0.0,0.0,0.0,0.0,0.00161,0.0,0.01172,0.0,0.01681,0.0,0.01056,0.016319999999999998,0.016909999999999998,0.00305,0.0,0.060079999999999995,0.0,0.0,0.0238,0.0,0.00372
DUSP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSP5,0.014159999999999999,0.02509,0.0226,0.024059999999999998,0.01042,0.01347,0.0145,0.0042899999999999995,0.04319,0.0,0.01355,0.01123,0.00112,0.9986700000000001,0.00281,0.00234,0.01546,0.04715,0.010409999999999999,0.0024,0.00512,0.028789999999999996,0.02022,0.02833,0.00266,0.02206,0.00193,0.0,0.0121,0.015,0.0010400000000000001,0.00064,0.00124,0.01522,0.0,0.02373,0.02122,0.0148,0.00498,0.0005,0.02181
