src,dest
ADCY6,PRKACB
ADCY6,PRKACG
ADCY6,RAPGEF3
ADCY6,RAPGEF4
ADCY7,PRKACA
ADCY7,PRKACB
ADCY7,PRKACG
ADCY7,RAPGEF3
ADCY7,RAPGEF4
ADCY8,PRKACA
ADCY8,PRKACB
ADCY8,PRKACG
ADCY8,RAPGEF3
ADCY8,RAPGEF4
ADCY9,PRKACA
ADCY9,PRKACB
ADCY9,PRKACG
ADCY9,RAPGEF3
ADCY9,RAPGEF4
ADCYAP1,ADCYAP1R1
ADCYAP1,ADORA2A
ADCYAP1,ADRB1
ADCYAP1,DRD1
ADCYAP1,DRD5
ADCYAP1,GLP1R
ADCYAP1,HTR6
ADCYAP1,LHCGR
ADCYAP1,MC2R
ADCYAP1,NPR1
ADCYAP1,PTGER2
ADCYAP1,TSHR
ADCYAP1,VIPR2
ADCYAP1R1,GNA11
ADCYAP1R1,GNAQ
ADCYAP1R1,GNAS
ADCYAP1R1,GNB1
ADCYAP1R1,GNB2
ADCYAP1R1,GNB3
ADCYAP1R1,GNB4
ADCYAP1R1,GNB5
ADCYAP1R1,GNG10
ADCYAP1R1,GNG11
ADCYAP1R1,GNG13
ADCYAP1R1,GNG4
ADCYAP1R1,GNG5
ADCYAP1R1,GNG7
ADCYAP1R1,GNG8
ADCYAP1R1,GNGT2
ADIPOR1,APPL1
ADIPOR1,CAMKK2
ADIPOR1,PPARA
ADIPOR1,PRKAA1
ADIPOR1,PRKAA2
ADIPOR1,PRKAB1
ADIPOR1,PRKAB2
ADIPOR1,PRKAG1
ADIPOR1,PRKAG2
ADIPOR1,PRKAG3
ADIPOR1,STK11
ADIPOR2,APPL1
ADIPOR2,CAMKK2
ADIPOR2,PPARA
ADIPOR2,PRKAA1
ADIPOR2,PRKAA2
ADIPOR2,PRKAB1
ADIPOR2,PRKAB2
ADIPOR2,PRKAG1
ADIPOR2,PRKAG2
ADIPOR2,PRKAG3
ADIPOR2,STK11
ADM,CALCR
ADM,RAMP1
ADM,RAMP2
ADM,RAMP3
ADORA2A,GNAL
ADORA2A,GNAQ
ADORA2A,GNAS
ADORA2B,GNAL
ADORA2B,GNAQ
ADORA2B,GNAS
ADRA1A,GNA11
ADRA1A,GNA12
ADRA1A,GNA13
ADRA1A,GNA14
ADRA1A,GNA15
ADRA1A,GNAQ
ADRA1A,PRKAA1
ADRA1A,PRKAA2
ADRA1A,PRKAB1
ADRA1A,PRKAB2
ADRA1A,PRKAG1
ADRA1A,PRKAG2
ADRA1A,PRKAG3
ADRA1B,GNA11
ADRA1B,GNA12
ADRA1B,GNA13
ADRA1B,GNA14
ADRA1B,GNA15
ADRA1B,GNAQ
ADRA1D,GNA11
ADRA1D,GNA12
ADRA1D,GNA13
ADRA1D,GNA14
ADRA1D,GNA15
ADRA1D,GNAQ
ADRA2A,GNA11
ADRA2A,GNA12
ADRA2A,GNA13
ADRA2A,GNAQ
ADRA2B,GNA11
ADRA2B,GNA12
ADRA2B,GNA13
ADRA2B,GNAQ
ADRA2C,GNA11
ADRA2C,GNA12
ADRA2C,GNA13
ADRA2C,GNAQ
ADRB1,GNAI1
ADRB1,GNAI2
ADRB1,GNAI3
ADRB1,GNAL
ADRB1,GNAS
ADRB2,GNAI1
ADRB2,GNAI2
ADRB2,GNAI3
ADRB2,GNAL
ADRB2,GNAS
AFDN,ACTB
AFDN,ACTG1
AFDN,NECTIN1
AFDN,NECTIN2
AFDN,NECTIN3
AFDN,RAP1A
AFDN,SIPA1
AFDN,TJP1
AFDN,TJP2
AGAP2,PIK3CA
AGAP2,PIK3CD
AGAP2,PIK3R1
AGAP2,PIK3R2
AGAP2,PIK3R3
AGRN,DAG1
AGTR1,GNA11
AGTR1,GNA12
AGTR1,GNA13
AGTR1,GNA14
AGTR1,GNA15
AGTR1,GNAQ
AGTR1,GNAS
AGTR1,PLCB1
AGTR1,PLCB2
AGTR1,PLCB3
AGTR1,PLCB4
AGTR1,SERPINE1
AGTR1,TGFB1
AGTR1,TGFB3
AHR,AIP
AHR,AIPL1
AHR,ARNT
AHR,CDKN1B
AHR,HSP90AA1
AHR,HSP90AB1
AIM2,PYCARD
AIPL1,AIP
AJUBA,LATS1
AJUBA,LATS2
AJUBA,SAV1
AKT1,ADCY1
AKT1,ADCY2
AKT1,ADCY3
AKT1,ADCY4
AKT1,ADCY5
AKT1,ADCY6
AKT1,ADCY7
AKT1,ADCY8
AKT1,ADCY9
AKT1,AKT1S1
AKT1,ATF2
AKT1,ATF4
AKT1,ATF6B
AKT1,BAD
AKT1,BCL2
AKT1,BCL2L1
AKT1,BIRC2
AKT1,BIRC5
AKT1,BRCA1
AKT1,CASP9
AKT1,CDKN1A
AKT1,CDKN1B
AKT1,CHUK
AKT1,CREB1
AKT1,CREB3
AKT1,CREB3L1
AKT1,CREB3L2
AKT1,CREB3L3
AKT1,CREB3L4
AKT1,CREB5
AKT1,FOXO1
AKT1,FOXO3
AKT1,GSK3A
AKT1,GSK3B
AKT1,IKBKB
AKT1,JUN
AKT1,MAP2K4
AKT1,MAP3K5
AKT1,MAP3K8
AKT1,MAPK1
AKT1,MAPK3
AKT1,MDM2
AKT1,MTOR
AKT1,NFKB1
AKT1,NFKBIA
AKT1,NFKBIB
AKT1,NOS1
AKT1,NOS3
AKT1,NR4A1
AKT1,PDE3B
AKT1,PFKFB2
AKT1,PPP1CA
AKT1,PPP1CB
AKT1,PPP1CC
AKT1,PPP1R3B
AKT1,PPP1R3C
AKT1,PPP1R3D
AKT1,PPP1R3E
AKT1,PRKAA1
AKT1,PRKAA2
AKT1,PRKAB1
AKT1,PRKAB2
AKT1,PRKAG1
AKT1,PRKAG2
AKT1,PRKAG3
AKT1,RAF1
AKT1,RELA
AKT1,RPS6KB1
AKT1,RPS6KB2
AKT1,SLC2A4
AKT1,SLC2A5
AKT1,TBC1D4
AKT1,TBC1D7
AKT1,TP53
AKT1,TSC1
AKT1,TSC2
AKT1,VEGFA
AKT1S1,ATG101
AKT1S1,ATG13
AKT1S1,EIF4EBP1
AKT1S1,MTOR
AKT1S1,PPARG
AKT1S1,RB1CC1
AKT1S1,RPS6KB1
AKT1S1,RPS6KB2
AKT1S1,ULK1
AKT1S1,ULK2
AKT2,ADCY1
AKT2,ADCY2
AKT2,ADCY3
AKT2,ADCY4
AKT2,ADCY5
AKT2,ADCY6
AKT2,ADCY7
AKT2,ADCY8
AKT2,ADCY9
AKT2,AKT1S1
AKT2,ATF2
AKT2,ATF4
AKT2,ATF6B
AKT2,BAD
AKT2,BCL2
AKT2,BCL2L1
AKT2,BIRC2
AKT2,BIRC5
AKT2,BRCA1
AKT2,CASP9
AKT2,CDKN1A
AKT2,CDKN1B
AKT2,CHUK
AKT2,CREB1
AKT2,CREB3
AKT2,CREB3L1
AKT2,CREB3L2
AKT2,CREB3L3
AKT2,CREB3L4
AKT2,CREB5
AKT2,FOXO1
AKT2,FOXO3
AKT2,GSK3A
AKT2,GSK3B
AKT2,IKBKB
AKT2,JUN
AKT2,MAP2K4
AKT2,MAP3K5
AKT2,MAP3K8
AKT2,MAPK1
AKT2,MAPK3
AKT2,MDM2
AKT2,MTOR
AKT2,NFKB1
AKT2,NFKBIA
AKT2,NFKBIB
AKT2,NOS1
AKT2,NOS3
AKT2,NR4A1
AKT2,PDE3B
AKT2,PFKFB2
AKT2,PPP1CA
AKT2,PPP1CB
AKT2,PPP1CC
AKT2,PPP1R3B
AKT2,PPP1R3C
AKT2,PPP1R3D
AKT2,PPP1R3E
AKT2,PRKAA1
AKT2,PRKAA2
AKT2,PRKAB1
AKT2,PRKAB2
AKT2,PRKAG1
AKT2,PRKAG2
AKT2,PRKAG3
AKT2,RAF1
AKT2,RELA
AKT2,RPS6KB1
AKT2,RPS6KB2
AKT2,SLC2A4
AKT2,SLC2A5
AKT2,TBC1D4
AKT2,TBC1D7
AKT2,TP53
AKT2,TSC1
AKT2,TSC2
AKT2,VEGFA
ALG10B,ALG8
ALG12,ALG9
ALG8,ALG6
ALG9,ALG3
ALK,HRAS
ALK,JAK1
ALK,JAK2
ALK,JAK3
ALK,KRAS
ALK,PIK3CA
ALK,PIK3CD
ALK,PIK3R1
ALK,PIK3R2
ALK,PIK3R3
ALK,PLCG1
ALK,PLCG2
ALYREF,THOC5
AMBRA1,BECN1
AMBRA1,TRAF6
AMH,ACVR1
AMH,BMPR1A
AMH,BMPR1B
AMH,BMPR2
AMOTL1,ARHGAP17
AMOTL2,ARHGAP17
ANAPC1,CCNB1
ANAPC1,CCNB2
ANAPC1,CDC16
ANAPC1,CDC20
ANAPC1,CDC23
ANAPC1,CDC27
ANAPC1,CDK1
ANAPC1,FZR1
ANAPC10,ANAPC1
ANAPC10,ANAPC11
ANAPC10,ANAPC13
ANAPC10,ANAPC2
ANAPC10,ANAPC4
ANAPC10,ANAPC5
ANAPC10,CCNB1
ANAPC10,CCNB2
ANAPC10,CDC16
ANAPC10,CDC20
ANAPC10,CDC23
ANAPC10,CDC26
ANAPC10,CDC27
ANAPC10,CDK1
ANAPC10,FZR1
ANAPC11,ANAPC1
ANAPC11,CCNB1
ANAPC11,CCNB2
ANAPC11,CDC16
ANAPC11,CDC20
ANAPC11,CDC23
ANAPC11,CDC27
ANAPC11,CDK1
ANAPC11,FZR1
ANAPC13,ANAPC1
ANAPC13,ANAPC11
ANAPC13,ANAPC2
ANAPC13,ANAPC4
ANAPC13,ANAPC5
ANAPC13,CCNB1
ANAPC13,CCNB2
ANAPC13,CDC16
ANAPC13,CDC20
ANAPC13,CDC23
ANAPC13,CDC27
ANAPC13,CDK1
ANAPC13,FZR1
ANAPC2,ANAPC1
ANAPC2,ANAPC11
ANAPC2,ANAPC4
ANAPC2,ANAPC5
ANAPC2,CCNB1
ANAPC2,CCNB2
ANAPC2,CDC16
ANAPC2,CDC20
ANAPC2,CDC23
ANAPC2,CDC27
ANAPC2,CDK1
ANAPC2,FZR1
ANAPC4,ANAPC1
ANAPC4,ANAPC11
ANAPC4,ANAPC5
ANAPC4,CCNB1
ANAPC4,CCNB2
ANAPC4,CDC16
ANAPC4,CDC20
ANAPC4,CDC23
ANAPC4,CDC27
ANAPC4,CDK1
ANAPC4,FZR1
ANAPC5,ANAPC1
ANAPC5,ANAPC11
ANAPC5,CCNB1
ANAPC5,CCNB2
ANAPC5,CDC16
ANAPC5,CDC20
ANAPC5,CDC23
ANAPC5,CDC27
ANAPC5,CDK1
ANAPC5,FZR1
ANGPTL8,ANGPTL4
ANK1,ITPR1
ANK1,ITPR2
ANK1,ITPR3
ANK1,TIAM1
ANK3,ITPR1
ANK3,ITPR2
ANK3,ITPR3
ANK3,TIAM1
AP2A2,AP2B1
AP2A2,EHD2
AP2A2,HIP1
AP2A2,HTT
AP2B1,EHD2
AP2B1,HIP1
AP2B1,HTT
AP2M1,AP2A2
AP2M1,AP2B1
AP2M1,AP2S1
AP2M1,CLTA
AP2M1,CLTB
AP2M1,EHD2
AP2M1,HIP1
AP2M1,HTT
AP2S1,AP2A2
AP2S1,AP2B1
AP2S1,CLTA
AP2S1,CLTB
AP2S1,EHD2
AP2S1,HIP1
AP2S1,HTT
APAF1,CASP3
APAF1,CASP9
APAF1,CYCS
APBB1IP,ENAH
APBB1IP,EVL
APBB1IP,PFN1
APBB1IP,PFN2
APBB1IP,PFN3
APBB1IP,PFN4
APBB1IP,TLN1
APBB1IP,VASP
APC,ARHGEF4
APC,AXIN1
APC,AXIN2
APC,CSNK1A1
APC,CTNNB1
APC,DVL1
APC,DVL3
APC,LEF1
APC,SKP1
APC,SPATA13
APC,TCF7
APC,TCF7L1
APC,TCF7L2
APC2,APC
APC2,ARHGEF4
APC2,AXIN1
APC2,AXIN2
APC2,CSNK1A1
APC2,CTNNB1
APC2,DVL1
APC2,DVL3
APC2,GSK3B
APC2,LEF1
APC2,SKP1
APC2,SPATA13
APC2,TCF7
APC2,TCF7L1
APC2,TCF7L2
APH1B,NOTCH1
APH1B,NOTCH3
APOA1,ABCA1
APOA1,LCAT
APOB,LDLR
APOB,SORT1
APOC1,CETP
APOC1,LCAT
APOE,LRP1
APOE,LRP2
APP,APBB1
APP,GAPDH
APP,NAE1
APPL1,CASP3
APPL1,CASP9
AQP1,PTGER2
AQP1,PTGER4
ARAP3,RHOA
ARF1,ABI1
ARF1,BRK1
ARF1,CYFIP1
ARF1,CYFIP2
ARF1,NCKAP1
ARF1,PLD1
ARF1,PLD2
ARF1,WASF1
ARF1,WASF2
ARF1,WASF3
ARF6,ARF1
ARF6,PIP5K1B
ARF6,PLD1
ARF6,PLD2
ARF6,RAC1
ARHGAP10,ACTB
ARHGAP10,ACTG1
ARHGAP17,CDC42
ARHGAP17,RAC1
ARHGAP5,RHOA
ARHGDIA,RHOA
ARHGDIB,RHOA
ARHGDIG,RHOA
ARHGEF1,CDC42
ARHGEF1,RHOA
ARHGEF11,RHOA
ARHGEF12,HRAS
ARHGEF12,KRAS
ARHGEF12,MRAS
ARHGEF12,RHOA
ARHGEF12,RRAS
ARHGEF12,RRAS2
ARHGEF18,PATJ
ARHGEF18,RHOA
ARHGEF2,RHOA
ARHGEF25,RHOA
ARHGEF26,RHOG
ARHGEF4,RAC1
ARHGEF4,RAC3
ARHGEF7,ARHGEF1
ARHGEF7,ARHGEF12
ARHGEF7,CDC42
ARHGEF7,GIT1
